County,A10i,A21,B3B,incomegpnew,freq
Taita-Taveta,Female,Some secondary,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Murang'a,Male,Secondary completed ,Running own business/Self employed,"KSh 50,001 - 100,000",1
Kericho,Male,Secondary completed ,Running own business/Self employed,Don't Know,1
Nyandarua,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Samburu,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",1
Kajiado,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Bomet,Female,University completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Homabay,Female,Secondary completed ,Running own business/Self employed,"KSh 1,001 - 3,000",1
Tharaka-Nithi,Female,University completed ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Busia,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Turkana,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Nyamira,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Kirinyaga,Female,None ,Pension/Annuity,"KSh 3,001 - 5,000",1
Busia,Female,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",1
Kwale,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",2
Nyandarua,Female,Some primary ,Running own business/Self employed,"KSh 5,001 - 10,000",1
Nyeri,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Nairobi City,Male,University completed ,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",2
Bomet,Female,Secondary completed ,Running own business/Self employed,Don't Know,1
Kilifi,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Laikipia,Male,Primary completed,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Samburu,Male,Primary completed,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Nairobi City,Male,Completed technical training after secondary school,Casual worker,"KSh 5,001 - 10,000",3
Kericho,Female,Some technical training after secondary school,Employed,"KSh 1,001 - 3,000",1
Kitui,Female,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",1
Nairobi City,Female,Some primary ,Casual worker,"KSh 10,001-20,000",1
Kakamega,Male,Secondary completed ,Employed,"KSh 20,001 - 50,000",1
Mombasa,Male,Secondary completed ,Running own business/Self employed,"KSh 50,001 - 100,000",1
Elgeyo-Marakwet,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Bomet,Female,None ,Money / support from family / friends / spouse,Refused to Answer,1
Kwale,Male,Completed technical training after secondary school,Casual worker,"KSh 5,001 - 10,000",1
Taita-Taveta,Female,Primary completed,Money from  NGO / Government,Don't Know,1
Wajir,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Laikipia,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",1
Bomet,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Machakos,Male,Primary completed,Money / support from family / friends / spouse,Don't Know,1
Nyeri,Female,Some technical training after secondary school,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Bomet,Female,Some secondary,Casual worker,"KSh 1,001 - 3,000",1
Wajir,Male,None ,Casual worker,Don't Know,1
Nakuru,Female,Some university,Employed,"KSh 20,001 - 50,000",1
Kilifi,Male,Some secondary,Casual worker,"KSh 5,001 - 10,000",1
Baringo,Male,University completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Uasin Gishu,Female,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Embu,Male,Some secondary,Employed,"KSh 5,001 - 10,000",2
Kakamega,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Embu,Male,Primary completed,Running own business/Self employed,"KSh 3,001 - 5,000",1
Kakamega,Female,Some secondary,Running own business/Self employed,"KSh 10,001-20,000",1
Vihiga,Male,University completed ,Pension/Annuity,"KSh 20,001 - 50,000",1
Taita-Taveta,Male,Some university,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Kisumu,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Lamu,Male,None ,Money / support from family / friends / spouse,"KSh 10,001-20,000",1
Nyandarua,Female,Primary completed,Casual worker,"KSh 1 - 1,000",1
Kakamega,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Kiambu,Male,None ,Casual worker,Don't Know,1
Kiambu,Male,Some university,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Turkana,Female,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",2
Kericho,Female,University completed ,Money / support from family / friends / spouse,Don't Know,1
Vihiga,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Makueni,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Mandera,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Nandi,Male,Completed technical training after secondary school,Casual worker,"KSh 3,001 - 5,000",1
Kisumu,Male,Completed technical training after secondary school,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Kajiado,Female,Some secondary,Employed,"KSh 5,001 - 10,000",1
Taita-Taveta,Male,Some secondary,Running own business/Self employed,"KSh 1,001 - 3,000",1
Kakamega,Male,Some technical training after secondary school,Employed,"KSh 10,001-20,000",1
Mombasa,Female,Some secondary,Money / support from family / friends / spouse,"KSh 10,001-20,000",1
Machakos,Male,University completed ,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",1
Siaya,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1 - 1,000",2
Turkana,Male,Some primary ,Employed,"KSh 10,001-20,000",1
Kisumu,Female,Completed technical training after secondary school,Running own business/Self employed,"KSh 10,001-20,000",1
Lamu,Female,Primary completed,Money / support from family / friends / spouse,Don't Know,2
Kisii,Female,None ,Money / support from family / friends / spouse,Don't Know,1
Murang'a,Male,University completed ,Casual worker,"KSh 1,001 - 3,000",1
Homabay,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Kericho,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Tharaka-Nithi,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Bomet,Female,Primary completed,Casual worker,"KSh 10,001-20,000",1
Nandi,Female,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Taita-Taveta,Male,Primary completed,Money / support from family / friends / spouse,Don't Know,1
Tharaka-Nithi,Female,Some primary ,Casual worker,"KSh 5,001 - 10,000",1
Kisumu,Male,University completed ,Employed,"KSh 20,001 - 50,000",1
Nyeri,Female,Some secondary,Casual worker,Don't Know,1
Vihiga,Female,Some primary ,Casual worker,"KSh 5,001 - 10,000",3
Uasin Gishu,Female,Completed technical training after secondary school,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Trans Nzoia,Female,Secondary completed ,Employed,"KSh 10,001-20,000",1
Tana River,Male,Some primary ,Casual worker,Don't Know,1
Mombasa,Male,None ,Running own business/Self employed,"KSh 20,001 - 50,000",1
Nandi,Male,Secondary completed ,Running own business/Self employed,Don't Know,1
Isiolo,Male,Some primary ,Employed,"KSh 20,001 - 50,000",1
Tharaka-Nithi,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Kajiado,Female,Some secondary,Money / support from family / friends / spouse,"KSh 10,001-20,000",1
Nakuru,Male,Completed technical training after secondary school,Running own business/Self employed,"KSh 20,001 - 50,000",1
Mombasa,Female,Some secondary,Casual worker,"KSh 1,001 - 3,000",1
Bomet,Male,Primary completed,Running own business/Self employed,"KSh 3,001 - 5,000",3
Laikipia,Male,Some technical training after secondary school,Running own business/Self employed,"KSh 10,001-20,000",1
Mombasa,Male,Some university,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Elgeyo-Marakwet,Male,Some secondary,Pension/Annuity,Refused to Answer,1
Nyeri,Male,Some secondary,Running own business/Self employed,Don't Know,1
Kiambu,Male,Some university,Running own business/Self employed,"KSh 10,001-20,000",1
Wajir,Female,None ,Employed,Don't Know,1
Bomet,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Kwale,Male,Completed technical training after secondary school,Employed,"KSh 50,001 - 100,000",1
Mombasa,Male,Some technical training after secondary school,Running own business/Self employed,"KSh 5,001 - 10,000",1
Tharaka-Nithi,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Tharaka-Nithi,Male,Some secondary,Employed,"KSh 10,001-20,000",1
Kilifi,Female,University completed ,Casual worker,"KSh 10,001-20,000",1
Kwale,Female,Some primary ,Casual worker,Don't Know,1
Narok,Female,Secondary completed ,Money / support from family / friends / spouse,Refused to Answer,1
Kilifi,Male,None ,Employed,"KSh 3,001 - 5,000",2
Laikipia,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Nyamira,Male,Some technical training after secondary school,Casual worker,"KSh 1,001 - 3,000",1
Embu,Female,University completed ,Employed,"KSh 50,001 - 100,000",1
Nyeri,Female,Primary completed,Money / support from family / friends / spouse,Don't Know,1
Mandera,Male,Primary completed,Casual worker,"KSh 10,001-20,000",1
Nakuru,Male,Some primary ,Employed,"KSh 3,001 - 5,000",1
Machakos,Female,None ,Money / support from family / friends / spouse,Don't Know,1
Narok,Female,Primary completed,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Embu,Male,Primary completed,Pension/Annuity,"KSh 3,001 - 5,000",1
Machakos,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Kiambu,Female,Some university,Running own business/Self employed,Don't Know,1
Embu,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Mandera,Female,Some secondary,Casual worker,"KSh 10,001-20,000",2
Taita-Taveta,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Bomet,Male,Secondary completed ,Casual worker,"KSh 10,001-20,000",1
Nakuru,Male,Completed technical training after secondary school,Running own business/Self employed,"KSh 10,001-20,000",1
Uasin Gishu,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Laikipia,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Embu,Female,Secondary completed ,Casual worker,"KSh 10,001-20,000",1
Nyamira,Male,Completed technical training after secondary school,Employed,"KSh 50,001 - 100,000",1
Vihiga,Male,Some primary ,Casual worker,"KSh 10,001-20,000",2
Mandera,Female,Some technical training after secondary school,Employed,"KSh 20,001 - 50,000",1
Kericho,Female,None ,Money / support from family / friends / spouse,"KSh 10,001-20,000",1
Turkana,Female,Secondary completed ,Employed,"KSh 10,001-20,000",1
Kilifi,Male,Some primary ,Employed,"KSh 5,001 - 10,000",2
Kisii,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",2
Trans Nzoia,Female,Some university,Employed,"KSh 20,001 - 50,000",1
Nyandarua,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",2
Laikipia,Male,None ,Casual worker,"KSh 1,001 - 3,000",2
Bomet,Male,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",1
Embu,Female,Primary completed,"Renting,  land, house/rooms, equipment","KSh 50,001 - 100,000",1
Isiolo,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Tharaka-Nithi,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Nakuru,Male,University completed ,"Renting,  land, house/rooms, equipment","KSh 10,001-20,000",1
Siaya,Male,Secondary completed ,Casual worker,"KSh 10,001-20,000",1
Nakuru,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Nyeri,Male,Some secondary,Running own business/Self employed,"KSh 1,001 - 3,000",1
Homabay,Female,Secondary completed ,Running own business/Self employed,"KSh 1 - 1,000",1
Tharaka-Nithi,Female,Some primary ,Running own business/Self employed,"KSh 5,001 - 10,000",1
Migori,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",1
Marsabit,Male,None ,Running own business/Self employed,"KSh 1,001 - 3,000",1
Machakos,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Vihiga,Male,Primary completed,Employed,"KSh 1,001 - 3,000",1
Isiolo,Female,None ,Employed,"KSh 1,001 - 3,000",1
Samburu,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Wajir,Female,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",1
Laikipia,Female,None ,Casual worker,"KSh 5,001 - 10,000",1
Homabay,Female,University completed ,Employed,"KSh 20,001 - 50,000",1
Nyandarua,Female,Primary completed,Casual worker,Don't Know,1
Kitui,Female,Some primary ,Casual worker,"KSh 10,001-20,000",1
Kirinyaga,Male,Some primary ,Running own business/Self employed,"KSh 1 - 1,000",1
Kisii,Female,Secondary completed ,Running own business/Self employed,"KSh 1,001 - 3,000",1
Vihiga,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Kiambu,Male,Completed technical training after secondary school,Casual worker,"KSh 20,001 - 50,000",1
Kisumu,Male,Some secondary,Employed,"KSh 5,001 - 10,000",1
Bomet,Female,Some university,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Vihiga,Female,None ,Running own business/Self employed,Don't Know,1
Nakuru,Female,Primary completed,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",1
Vihiga,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Bungoma,Female,Completed technical training after secondary school,Money / support from family / friends / spouse,Don't Know,1
Bomet,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Turkana,Female,Some primary ,Running own business/Self employed,"KSh 5,001 - 10,000",1
Kilifi,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Vihiga,Female,Some secondary,Running own business/Self employed,"KSh 5,001 - 10,000",1
Machakos,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",1
Bungoma,Male,Some primary ,Casual worker,"KSh 5,001 - 10,000",2
Tharaka-Nithi,Female,Primary completed,Money / support from family / friends / spouse,"KSh 10,001-20,000",1
Kiambu,Male,Some university,Running own business/Self employed,"KSh 5,001 - 10,000",1
Migori,Female,Some secondary,Running own business/Self employed,"KSh 10,001-20,000",2
Kwale,Male,Some primary ,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",1
Kakamega,Male,Some primary ,Running own business/Self employed,"KSh 20,001 - 50,000",1
Garissa,Female,Some primary ,Casual worker,"KSh 10,001-20,000",1
Nakuru,Male,Some secondary,Running own business/Self employed,"KSh 50,001 - 100,000",1
Murang'a,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Nairobi City,Female,University completed ,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",1
Nyamira,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Bomet,Male,Some university,"Farming (crops, keeping livestock, fishing, aquaculture)",">KSh 100,000",1
Kisii,Male,Some secondary,Running own business/Self employed,"KSh 5,001 - 10,000",1
Nyeri,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Bomet,Female,University completed ,Employed,"KSh 10,001-20,000",1
Laikipia,Male,Some primary ,Employed,"KSh 5,001 - 10,000",2
Trans Nzoia,Female,University completed ,Employed,"KSh 20,001 - 50,000",1
Kiambu,Female,Some primary ,Employed,"KSh 5,001 - 10,000",1
Laikipia,Male,Some primary ,Running own business/Self employed,Don't Know,1
Bungoma,Female,Primary completed,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Bomet,Male,Some primary ,Employed,"KSh 1,001 - 3,000",1
Vihiga,Female,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",2
Kericho,Male,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Machakos,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",2
Kilifi,Male,University completed ,Employed,Don't Know,1
Bomet,Female,None ,Money / support from family / friends / spouse,Don't Know,1
Isiolo,Male,Completed technical training after secondary school,Running own business/Self employed,"KSh 50,001 - 100,000",1
Vihiga,Male,Some university,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Bomet,Female,Some primary ,Money / support from family / friends / spouse,Don't Know,2
Laikipia,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Kakamega,Male,Some technical training after secondary school,Running own business/Self employed,Refused to Answer,1
Embu,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,Don't Know,1
Vihiga,Male,Some university,Running own business/Self employed,"KSh 5,001 - 10,000",1
Kericho,Female,Primary completed,Money / support from family / friends / spouse,Don't Know,2
Trans Nzoia,Male,Secondary completed ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Embu,Male,Some primary ,Employed,"KSh 1 - 1,000",1
Nandi,Female,Completed technical training after secondary school,Employed,"KSh 10,001-20,000",1
Kisumu,Male,University completed ,Money / support from family / friends / spouse,"KSh 10,001-20,000",1
Marsabit,Female,Some technical training after secondary school,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Makueni,Male,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Kiambu,Male,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",1
Kericho,Female,Some university,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Vihiga,Female,None ,Pension/Annuity,"KSh 1,001 - 3,000",1
Bungoma,Female,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
West Pokot,Male,Some technical training after secondary school,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Kiambu,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Kajiado,Male,Some primary ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Nandi,Male,Some university,Running own business/Self employed,"KSh 10,001-20,000",1
Kilifi,Female,Secondary completed ,Money / support from family / friends / spouse,Don't Know,1
Kiambu,Male,Some technical training after secondary school,Employed,"KSh 10,001-20,000",1
Kericho,Male,None ,Casual worker,"KSh 3,001 - 5,000",1
Nyeri,Female,None ,"Renting,  land, house/rooms, equipment",Don't Know,1
Machakos,Male,Secondary completed ,"Renting,  land, house/rooms, equipment","KSh 10,001-20,000",1
Nakuru,Male,Some university,Employed,"KSh 5,001 - 10,000",1
Machakos,Male,Some secondary,Employed,"KSh 5,001 - 10,000",1
Tana River,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Tharaka-Nithi,Female,Some primary ,Casual worker,Don't Know,2
Busia,Male,Primary completed,Employed,"KSh 5,001 - 10,000",1
Machakos,Male,Completed technical training after secondary school,Pension/Annuity,"KSh 3,001 - 5,000",1
Kirinyaga,Male,Some technical training after secondary school,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Kilifi,Male,Secondary completed ,"Renting,  land, house/rooms, equipment",">KSh 100,000",1
Nakuru,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Kajiado,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Bomet,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Kisii,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Nakuru,Male,Some primary ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Bomet,Female,University completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Machakos,Male,Some secondary,Employed,"KSh 20,001 - 50,000",1
Nyeri,Female,Secondary completed ,Employed,"KSh 10,001-20,000",1
Isiolo,Female,None ,Casual worker,"KSh 5,001 - 10,000",1
Elgeyo-Marakwet,Female,Some secondary,Casual worker,"KSh 1 - 1,000",1
Kitui,Male,Primary completed,Employed,"KSh 5,001 - 10,000",1
Isiolo,Male,Some secondary,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Meru,Male,Some primary ,Money / support from family / friends / spouse,"KSh 10,001-20,000",1
Nakuru,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",1
Bungoma,Male,Secondary completed ,Pension/Annuity,"KSh 5,001 - 10,000",1
Kilifi,Female,Some primary ,Running own business/Self employed,Don't Know,1
Nyandarua,Female,Secondary completed ,Employed,Don't Know,1
Kiambu,Male,Secondary completed ,Pension/Annuity,"KSh 10,001-20,000",1
Nairobi City,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Migori,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 50,001 - 100,000",1
Nyandarua,Male,Completed technical training after secondary school,Employed,Refused to Answer,1
Turkana,Male,Some secondary,Running own business/Self employed,"KSh 1,001 - 3,000",1
Vihiga,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Narok,Female,None ,Casual worker,"KSh 3,001 - 5,000",2
Samburu,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Kilifi,Male,Some secondary,Casual worker,"KSh 1 - 1,000",1
Siaya,Female,Completed technical training after secondary school,Pension/Annuity,"KSh 10,001-20,000",1
Nandi,Female,Some primary ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Tharaka-Nithi,Male,Secondary completed ,Running own business/Self employed,"KSh 20,001 - 50,000",1
Kajiado,Male,Completed technical training after secondary school,Employed,"KSh 10,001-20,000",3
Bungoma,Male,Some primary ,Running own business/Self employed,"KSh 10,001-20,000",1
Machakos,Male,Some technical training after secondary school,Employed,"KSh 20,001 - 50,000",1
Samburu,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",2
Kericho,Male,Some university,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Tharaka-Nithi,Female,Primary completed,Running own business/Self employed,"KSh 1,001 - 3,000",1
Vihiga,Male,Secondary completed ,Employed,"KSh 20,001 - 50,000",1
Isiolo,Male,Some secondary,Casual worker,"KSh 1,001 - 3,000",1
Uasin Gishu,Female,Completed technical training after secondary school,Casual worker,"KSh 10,001-20,000",1
Nakuru,Male,Secondary completed ,Running own business/Self employed,"KSh 1,001 - 3,000",1
Lamu,Female,Primary completed,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Nakuru,Male,Some technical training after secondary school,Pension/Annuity,"KSh 20,001 - 50,000",1
Kajiado,Male,Some university,Running own business/Self employed,Don't Know,1
Kwale,Female,Some technical training after secondary school,Employed,"KSh 20,001 - 50,000",1
Kericho,Female,Primary completed,Running own business/Self employed,"KSh 1 - 1,000",1
Busia,Male,University completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Turkana,Female,Primary completed,Employed,"KSh 5,001 - 10,000",1
Busia,Female,Primary completed,Money from  NGO / Government,"KSh 1,001 - 3,000",1
Mandera,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Kiambu,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Elgeyo-Marakwet,Female,Some secondary,Running own business/Self employed,"KSh 1,001 - 3,000",1
Bungoma,Male,Secondary completed ,Employed,Don't Know,1
Tharaka-Nithi,Female,Some university,Casual worker,"KSh 10,001-20,000",1
Lamu,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Mombasa,Male,Some technical training after secondary school,Casual worker,"KSh 10,001-20,000",1
Nyeri,Female,Completed technical training after secondary school,Running own business/Self employed,"KSh 10,001-20,000",1
Siaya,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",1
Kajiado,Female,Secondary completed ,Casual worker,Don't Know,1
Migori,Female,Some technical training after secondary school,Running own business/Self employed,"KSh 1,001 - 3,000",1
Elgeyo-Marakwet,Male,Some technical training after secondary school,Casual worker,"KSh 1,001 - 3,000",1
Tana River,Female,Primary completed,Casual worker,"KSh 1,001 - 3,000",1
Narok,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 50,001 - 100,000",1
Kajiado,Male,Secondary completed ,Running own business/Self employed,"KSh 20,001 - 50,000",1
Narok,Male,None ,Running own business/Self employed,"KSh 20,001 - 50,000",1
Baringo,Male,Some secondary,Employed,"KSh 5,001 - 10,000",1
Kiambu,Female,None ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Nyamira,Female,Primary completed,Running own business/Self employed,"KSh 1,001 - 3,000",1
Homabay,Male,Some technical training after secondary school,Running own business/Self employed,"KSh 5,001 - 10,000",1
Kiambu,Female,University completed ,Casual worker,"KSh 5,001 - 10,000",1
Nyamira,Female,Secondary completed ,Employed,"KSh 10,001-20,000",1
Murang'a,Male,Some technical training after secondary school,Employed,"KSh 10,001-20,000",1
Kwale,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Isiolo,Male,None ,Casual worker,"KSh 10,001-20,000",1
Kericho,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",1
Nyandarua,Male,Some university,Running own business/Self employed,"KSh 10,001-20,000",1
Kericho,Male,Some primary ,Casual worker,Don't Know,1
Baringo,Male,Secondary completed ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Machakos,Male,Primary completed,Employed,"KSh 3,001 - 5,000",1
Bungoma,Male,Some university,Money / support from family / friends / spouse,Refused to Answer,1
Trans Nzoia,Male,Completed technical training after secondary school,Running own business/Self employed,"KSh 20,001 - 50,000",2
Garissa,Female,Some secondary,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",1
Machakos,Female,Some secondary,Casual worker,"KSh 1,001 - 3,000",1
Kiambu,Male,Some secondary,Casual worker,"KSh 1 - 1,000",1
Murang'a,Female,Some primary ,Money / support from family / friends / spouse,Don't Know,1
Embu,Male,Some primary ,Money from  NGO / Government,Don't Know,1
Nyamira,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Wajir,Female,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Kakamega,Female,Some secondary,Pension/Annuity,"KSh 3,001 - 5,000",1
Taita-Taveta,Female,University completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Tana River,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Nakuru,Female,None ,Employed,"KSh 10,001-20,000",1
Vihiga,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
